Client,Address,Expiration Date,Status,Premium,VIN,State,Manufacturer,Car Model,Autonomous Software,Sensors,Computing Units,Connectivity,Power System,Braking System,Steering System,Price,Policy Channel,Year,Mileage,Accident History,Ownership,Average Annual Mileage,Annual Mileage,Repair Records,Maintenance Records,Usage,Claim Records
Erin Martin,"2601 Scott Viaduct
Michellefort, ND 83128",2024-12-07,Active,147.74,X9MEVMF16MWB7BWHP,ND,Audi,Audi A8 L,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,86000,Online,2017,47298,1,Personal Ownership,5912,"[5835, 5334, 5543, 6612, 5979, 5559, 5761, 6675]",0,7,Rental,"[{'date': datetime.date(2022, 8, 4), 'amount': 4665.84}]"
Cynthia Simpson,"1888 Derrick Landing Apt. 272
Ballfort, AK 92092",2024-12-15,Active,132.52,1UPB5C2CEES5L771H,AK,Audi,Audi A6 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,70000,4S Stores,2023,13698,0,Company Ownership,6849,"[6482, 7216]",0,2,Commercial,"[{'date': datetime.date(2023, 2, 14), 'amount': 4299.94}, {'date': datetime.date(2023, 3, 5), 'amount': 2917.73}]"
Patrick Taylor,"49344 Heather Spur
Bondbury, PR 31607",2024-11-08,Active,117.91,EYDHU1NFSSE4GHSG7,PR,Tesla,Tesla Model Y,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,49990,Online,2015,110716,1,Company Ownership,11071,"[11108, 10955, 10257, 12240, 10283, 10585, 11901, 10083, 11688, 11616]",1,9,Personal,"[{'date': datetime.date(2022, 4, 18), 'amount': 2948.91}, {'date': datetime.date(2024, 7, 9), 'amount': 1191.48}, {'date': datetime.date(2021, 4, 5), 'amount': 1525.04}]"
Monica Molina,"8640 Mary Curve
North Brianview, UT 22395",2024-12-14,Active,133.57,V366PUAD0609Y5VH3,UT,Mercedes-Benz,Mercedes-Benz EQC,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,67000,Agent,2014,134874,2,Company Ownership,12261,"[11981, 11821, 11775, 12077, 13244, 13065, 13258, 13064, 11351, 11238, 12000]",1,10,Rental,"[{'date': datetime.date(2024, 5, 29), 'amount': 3981.58}, {'date': datetime.date(2019, 2, 15), 'amount': 2456.8}, {'date': datetime.date(2021, 12, 18), 'amount': 2048.02}]"
Daniel Huff,"250 Young Plains
Jillland, GU 41007",2024-11-06,Active,102.85,1WJKJSDCV1T8639YP,GU,BYD,BYD Han,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,30000,4S Stores,2018,80623,0,Company Ownership,11517,"[10871, 10477, 12225, 11118, 12498, 11132, 12302]",0,12,Commercial,"[{'date': datetime.date(2020, 4, 30), 'amount': 3481.42}, {'date': datetime.date(2022, 6, 27), 'amount': 1588.0}, {'date': datetime.date(2016, 9, 9), 'amount': 648.5}, {'date': datetime.date(2021, 10, 24), 'amount': 2889.99}]"
Leonard Griffith,"1208 Aguilar Stream Apt. 688
North Christopherfort, AL 49695",2024-11-27,Active,166.78,GMTSKVLPR2KYPVM17,AL,Mercedes-Benz,Mercedes-Benz S-Class,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,110000,4S Stores,2018,73048,1,Personal Ownership,10435,"[10561, 9745, 10868, 9553, 11043, 11354, 9924]",7,12,Personal,"[{'date': datetime.date(2024, 4, 30), 'amount': 2732.64}, {'date': datetime.date(2024, 10, 2), 'amount': 1244.96}, {'date': datetime.date(2021, 3, 16), 'amount': 3951.08}, {'date': datetime.date(2024, 10, 28), 'amount': 1851.43}, {'date': datetime.date(2020, 6, 29), 'amount': 3592.69}, {'date': datetime.date(2024, 4, 21), 'amount': 1737.86}]"
Charles Johnson,"75754 Padilla Station
Port Donald, MD 90101",2024-11-19,Active,132.92000000000002,HYCSDXDEWCTPBRX4N,MD,Audi,Audi A6 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,70000,In-Vehicle Infotainment System,2018,79860,1,Personal Ownership,11408,"[12444, 10120, 11895, 11027, 12470, 10904, 11000]",1,6,Commercial,"[{'date': datetime.date(2024, 9, 11), 'amount': 1468.44}, {'date': datetime.date(2023, 12, 31), 'amount': 1579.87}]"
Crystal Johnson,"457 Bennett Extensions Suite 496
Moorefurt, MS 46225",2024-12-09,Active,147.76999999999998,GV2FBFNBNECUJ1N7L,MS,BMW,BMW 7 Series,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,87000,4S Stores,2020,50522,0,Company Ownership,10104,"[10040, 9703, 10589, 9666, 10524]",0,8,Rental,[]
Joseph Acevedo,"8931 Cardenas Walk
West Toddfort, DC 65160",2024-11-21,Active,148.48000000000002,44L699A3KNCW8MAA5,DC,Audi,Audi A8 L,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,86000,Agent,2016,45776,0,Company Ownership,5086,"[5482, 5426, 5188, 4475, 5076, 5026, 5329, 4913, 4861]",3,8,Personal,"[{'date': datetime.date(2023, 7, 7), 'amount': 4494.23}]"
Caitlyn Dillon,"9092 Meyer Gateway
Vickieberg, WV 56008",2024-12-10,Active,136.24,UJZWKHLSD1GR9LNR5,WV,Audi,Audi Q8 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,74000,In-Vehicle Infotainment System,2023,14510,1,Personal Ownership,7255,"[7602, 6908]",0,1,Rental,[]
Theresa Russell,"53397 Powell Forks Apt. 702
West Heather, MI 47093",2024-11-06,Active,123.06,H34DML93TPY6X0W6A,MI,BMW,BMW i4,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,56000,Online,2016,110790,0,Company Ownership,12310,"[12864, 11061, 11913, 12823, 12163, 12544, 12930, 11351, 13141]",0,16,Commercial,"[{'date': datetime.date(2020, 7, 23), 'amount': 2004.9}]"
Jeff Martin,"7282 Ryan Square
South Joseph, PA 60394",2024-11-20,Active,147.61,64LAC96K02TRBZH5K,PA,Audi,Audi A8 L,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,86000,In-Vehicle Infotainment System,2014,143982,2,Company Ownership,13089,"[12923, 12432, 13349, 12958, 12501, 14291, 12533, 13258, 14188, 12782, 12767]",3,20,Rental,"[{'date': datetime.date(2023, 11, 21), 'amount': 972.46}, {'date': datetime.date(2016, 9, 29), 'amount': 3932.18}]"
Joshua Morton,"7182 Anthony Trail Suite 137
Justinville, NJ 35572",2024-11-10,Active,120.92,84F1M664UGGKHVU73,NJ,NIO,NIO ES6,NIO Pilot,LiDAR,NVIDIA Orin,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,52000,Online,2018,81812,0,Company Ownership,11687,"[11791, 12707, 10894, 11993, 11884, 11788, 10755]",2,12,Rental,"[{'date': datetime.date(2021, 4, 27), 'amount': 1043.57}, {'date': datetime.date(2024, 10, 28), 'amount': 2326.89}, {'date': datetime.date(2024, 10, 28), 'amount': 3685.02}]"
Kelly Jensen MD,"14850 Vance Locks Suite 620
Port James, WY 07943",2024-11-25,Active,143.16,YRHXV0GJGYDU97EUG,WY,Tesla,Tesla Model S,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,79990,In-Vehicle Infotainment System,2018,78423,1,Company Ownership,11203,"[10920, 11560, 10350, 11429, 11606, 11076, 11482]",0,12,Personal,"[{'date': datetime.date(2024, 9, 23), 'amount': 914.47}, {'date': datetime.date(2022, 3, 21), 'amount': 2184.32}, {'date': datetime.date(2024, 8, 30), 'amount': 1406.84}]"
Clayton Jackson,"31409 Yang Locks
Hallfort, FM 68745",2024-11-28,Active,130.5,C895EJBDDWN363KBY,FM,Audi,Audi e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,66000,Online,2020,58028,0,Company Ownership,11605,"[12294, 10837, 11971, 11017, 11909]",2,8,Personal,"[{'date': datetime.date(2021, 5, 29), 'amount': 710.98}, {'date': datetime.date(2021, 12, 27), 'amount': 2688.81}, {'date': datetime.date(2024, 10, 20), 'amount': 1654.43}, {'date': datetime.date(2015, 5, 6), 'amount': 3730.43}]"
Shannon Patterson,"8166 Wong Corner Suite 837
Port Michael, ME 01648",2024-11-11,Active,147.37,CE2L6TSN8CYVTS1NL,ME,Audi,Audi A8 L,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,86000,4S Stores,2015,120205,0,Personal Ownership,12020,"[11970, 12725, 12860, 11398, 12077, 12793, 12728, 11992, 11402, 10260]",2,18,Commercial,"[{'date': datetime.date(2021, 6, 5), 'amount': 2747.15}]"
Jessica Christensen,"5323 Paige Center
Lake Douglasbury, NY 53765",2024-11-11,Active,144.7,59WMHREYWTPMSSXJ8,NY,Audi,Audi A8 L,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,86000,In-Vehicle Infotainment System,2019,66947,0,Company Ownership,11157,"[10661, 10988, 10764, 11842, 11843, 10849]",2,10,Personal,"[{'date': datetime.date(2018, 4, 21), 'amount': 3639.33}, {'date': datetime.date(2024, 2, 19), 'amount': 2235.09}]"
Paul Owen,"957 Frank Expressway Suite 312
Port Karimouth, AS 72651",2024-12-03,Active,146.92000000000002,FEKUVJ44A5HB8MLXZ,AS,BMW,BMW 7 Series,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,87000,4S Stores,2023,14272,0,Company Ownership,7136,"[7224, 7048]",1,1,Personal,"[{'date': datetime.date(2021, 9, 27), 'amount': 3732.52}, {'date': datetime.date(2024, 8, 8), 'amount': 3269.4}, {'date': datetime.date(2023, 9, 18), 'amount': 2137.58}]"
Laura Romero,"0837 Jackson Place
Stephanieberg, LA 16950",2024-11-09,Active,163.38,ASKXLCXKLEAK53VBR,LA,Mercedes-Benz,Mercedes-Benz S-Class,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,110000,4S Stores,2020,51614,1,Company Ownership,10322,"[9985, 9698, 10719, 9621, 11591]",0,8,Personal,"[{'date': datetime.date(2020, 5, 6), 'amount': 4131.31}]"
Elizabeth Neal,"84120 Melissa Gateway
Port Josephfurt, MD 18170",2024-12-11,Active,142.5,LZBY31NAJNN01K938,MD,BMW,BMW iX,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,83000,4S Stores,2020,59351,0,Personal Ownership,11870,"[13002, 12205, 11841, 11024, 11279]",1,8,Personal,[]
Cheryl Cross,"04988 White Turnpike Apt. 868
West Alyssafurt, MP 44457",2024-11-28,Active,102.99,X68RXRGEH2GYKFH2R,MP,BYD,BYD Han,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,30000,4S Stores,2022,29769,1,Company Ownership,9923,"[10212, 9584, 9973]",1,4,Rental,"[{'date': datetime.date(2024, 10, 28), 'amount': 2170.03}]"
Tony King,"45955 Shirley Islands Apt. 499
Alyssatown, AL 79623",2024-12-04,Active,166.45999999999998,NL72K8D1CBUH5AWEL,AL,Mercedes-Benz,Mercedes-Benz S-Class,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,110000,Online,2018,83896,0,Company Ownership,11985,"[12483, 11967, 12064, 12171, 12050, 11518, 11643]",1,12,Rental,"[{'date': datetime.date(2022, 3, 5), 'amount': 3034.29}, {'date': datetime.date(2020, 5, 4), 'amount': 3346.16}]"
Cindy Nichols,"64236 Simpson Circle Suite 053
Keithmouth, IL 80495",2024-12-12,Active,156.68,RNRKEYW4PBT717CLB,IL,Mercedes-Benz,Mercedes-Benz EQS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,102000,Online,2020,55211,1,Company Ownership,11042,"[10128, 10453, 12001, 10952, 11677]",0,8,Rental,"[{'date': datetime.date(2017, 10, 21), 'amount': 2757.74}, {'date': datetime.date(2018, 11, 22), 'amount': 757.92}]"
Tiffany Norman,"62146 Michaela Loaf Apt. 802
North Ryan, FM 88100",2024-12-12,Active,145.57999999999998,0K43X7UFNEC4BZM71,FM,BMW,BMW 7 Series,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,87000,4S Stores,2022,28273,0,Personal Ownership,9424,"[10305, 9521, 8447]",0,2,Rental,"[{'date': datetime.date(2024, 10, 28), 'amount': 1011.9}]"
Jeremy Gill,"365 Coleman Ridges Suite 685
Wyattton, DE 99045",2024-12-09,Active,148.86,54B2PVG9E2SZDA8Z3,DE,BMW,BMW 7 Series,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,87000,Online,2019,62076,1,Personal Ownership,10346,"[11297, 11043, 10714, 9807, 9833, 9382]",1,5,Personal,"[{'date': datetime.date(2022, 3, 6), 'amount': 909.15}, {'date': datetime.date(2024, 6, 16), 'amount': 2528.66}]"
Douglas Harris,"3985 Clay Street
Michaelland, VI 27562",2024-11-17,Active,140.06,D86TU2HP517VGY5Z1,VI,Mercedes-Benz,Mercedes-Benz GLS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,76000,Online,2024,0,1,Company Ownership,0,[0],0,0,Rental,"[{'date': datetime.date(2022, 6, 18), 'amount': 3912.17}, {'date': datetime.date(2020, 12, 19), 'amount': 1120.77}]"
Martin Cross,"97541 Eric Plains Apt. 917
North Daniel, HI 99595",2024-12-16,Active,110.58,1ZUZXWH094W64GY1N,HI,Tesla,Tesla Model 3,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,39990,4S Stores,2016,100759,1,Company Ownership,11195,"[12288, 10566, 11476, 11264, 9976, 11022, 10820, 11226, 12121]",1,8,Personal,"[{'date': datetime.date(2024, 5, 22), 'amount': 2771.4}]"
Rebecca Simpson,"641 Schmidt Cape
Lake Paulshire, MO 79797",2024-11-14,Active,144.67000000000002,R5XZ6ZHPJPBRH5U2T,MO,Audi,Audi A8 L,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,86000,Agent,2014,131329,1,Company Ownership,11939,"[10887, 12463, 11803, 11043, 11666, 13193, 10951, 11385, 12910, 12061, 12967]",3,10,Commercial,"[{'date': datetime.date(2024, 3, 10), 'amount': 3038.36}, {'date': datetime.date(2018, 12, 7), 'amount': 1511.83}]"
John Tate,"23755 Schwartz Dale Apt. 662
Jeffreytown, LA 70395",2024-12-07,Active,166.74,7YTALW6HCCJMS9WLY,LA,Mercedes-Benz,Mercedes-Benz S-Class,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,110000,Agent,2017,44626,0,Personal Ownership,5578,"[5352, 6110, 5163, 6147, 5330, 5508, 6029, 4987]",3,14,Rental,[]
Tiffany Mccann,"67811 Hill Plains
East Lisa, TN 88411",2024-11-15,Active,110.73,MMLZNZHGCUEPZDK1H,TN,Tesla,Tesla Model 3,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,39990,Agent,2022,29969,0,Company Ownership,9989,"[9678, 9540, 10751]",1,2,Commercial,"[{'date': datetime.date(2022, 12, 5), 'amount': 2346.73}]"
Maxwell Thomas,"USNV Young
FPO AE 88093",2024-11-05,Expiring in 7 Days,102.03,4KZTATX3ZYDDYWB1B,AE,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,Online,2022,27368,0,Company Ownership,9122,"[9733, 8798, 8837]",2,2,Rental,"[{'date': datetime.date(2020, 12, 21), 'amount': 4461.48}, {'date': datetime.date(2021, 9, 5), 'amount': 3348.23}]"
April Anderson,"Unit 0463 Box 0031
DPO AE 79760",2024-11-14,Active,144.32,7GUHN03ETDBYZSSJU,AE,BMW,BMW iX,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,83000,4S Stores,2022,24634,0,Company Ownership,8211,"[8354, 7377, 8903]",1,4,Commercial,"[{'date': datetime.date(2023, 7, 29), 'amount': 2551.09}]"
Melanie Garcia,"91793 Paul Stravenue Apt. 133
East Michaelstad, MP 24178",2024-11-29,Active,142.62,7UZK5GZUK4E5ZZWMN,MP,BMW,BMW iX,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,83000,Agent,2016,115278,3,Personal Ownership,12808,"[13724, 13719, 12633, 12524, 12406, 12133, 13657, 12237, 12245]",1,8,Commercial,"[{'date': datetime.date(2023, 5, 22), 'amount': 3317.26}]"
Christopher Maynard,"93779 Martinez Hollow
New Jenniferburgh, GU 30535",2024-11-18,Active,140.32999999999998,ZKLPXUT6PYFDFKNS3,GU,Mercedes-Benz,Mercedes-Benz GLS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,76000,4S Stores,2017,103659,1,Company Ownership,12957,"[13469, 13575, 12456, 12533, 12662, 13431, 12442, 13091]",1,7,Commercial,"[{'date': datetime.date(2024, 2, 3), 'amount': 4812.57}]"
Edward Bennett,"8525 Crawford Flats
New Ryan, NV 86646",2024-11-16,Active,146.82,5K5B4L1WWZ82J7SYV,NV,BMW,BMW 7 Series,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,87000,4S Stores,2021,41236,0,Personal Ownership,10309,"[11311, 9959, 9004, 10962]",2,3,Commercial,"[{'date': datetime.date(2020, 2, 3), 'amount': 3888.64}, {'date': datetime.date(2024, 6, 1), 'amount': 1366.02}]"
Brian Rodriguez,"61531 Barry Trail Suite 089
Kevinfort, OH 37077",2024-11-09,Active,129.63,H5E4F8X9B2EWFJFKT,OH,BMW,BMW X5 xDrive45e,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,65000,In-Vehicle Infotainment System,2014,126662,1,Personal Ownership,11514,"[10735, 10522, 11843, 12145, 11506, 10745, 11875, 12966, 12138, 11702, 10485]",2,10,Rental,"[{'date': datetime.date(2022, 8, 7), 'amount': 2839.78}, {'date': datetime.date(2019, 5, 25), 'amount': 4818.37}]"
Billy Hansen,"961 Blake Walks
West Noah, AR 75949",2024-11-16,Active,147.61,JU0RZFTEG9A5HSHBZ,AR,Audi,Audi A8 L,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,86000,4S Stores,2019,62778,0,Company Ownership,10463,"[10716, 11388, 10666, 9660, 9846, 10502]",0,10,Commercial,"[{'date': datetime.date(2024, 10, 28), 'amount': 4024.9}, {'date': datetime.date(2024, 10, 28), 'amount': 3333.03}]"
Matthew Greer,"603 Hannah Fields
East Donaldview, MO 03008",2024-11-24,Active,119.06,ENF4533VPRBL9ZFSA,MO,Tesla,Tesla Model Y,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,49990,Online,2023,13709,0,Company Ownership,6854,"[6654, 7055]",0,2,Commercial,[]
Megan Rowland,"Unit 2378 Box 2750
DPO AA 67807",2024-12-04,Active,110.44,T3DMY05MK91L0YB5M,AA,Tesla,Tesla Model 3,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,39990,4S Stores,2015,125010,2,Company Ownership,12501,"[12601, 11448, 13236, 11891, 12858, 13449, 11809, 12913, 12834, 11971]",1,18,Personal,"[{'date': datetime.date(2019, 3, 3), 'amount': 2770.33}]"
Paula Johnson,"407 Hart Mission Suite 456
Garzaview, TN 07735",2024-12-09,Active,130.78,YPFKFH83CFR6HL19N,TN,BMW,BMW X5 xDrive45e,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,65000,4S Stores,2016,111981,1,Company Ownership,12442,"[12004, 12053, 13410, 12276, 12974, 12979, 12980, 11385, 11920]",1,8,Rental,"[{'date': datetime.date(2017, 11, 15), 'amount': 4605.49}]"
Luke Moore,"20982 Katherine Junction
Port Colleen, MS 92310",2024-12-16,Active,136.49,K1JLF5JVUK1GR586D,MS,Audi,Audi Q8 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,74000,Online,2014,130563,0,Personal Ownership,11869,"[11992, 11244, 12345, 11929, 12648, 11274, 12040, 11169, 10886, 12294, 12742]",0,20,Commercial,[]
Michael Brewer,"79732 Miller Center
Paulbury, AS 60786",2024-12-09,Active,132.15,XC0DRKRXUZ954HAMA,AS,Audi,Audi e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,66000,Agent,2017,104629,3,Personal Ownership,13078,"[13580, 12213, 12546, 11969, 13638, 12409, 13382, 14892]",1,14,Personal,"[{'date': datetime.date(2024, 10, 28), 'amount': 2448.94}, {'date': datetime.date(2021, 2, 21), 'amount': 4233.22}, {'date': datetime.date(2024, 5, 14), 'amount': 4391.64}]"
Tyler Banks,"157 Ryan Gateway Suite 476
South Glenn, AR 55727",2024-12-12,Active,157.63,VT9BB0CR0P54ETHUE,AR,Mercedes-Benz,Mercedes-Benz EQS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,102000,Online,2017,91719,0,Personal Ownership,11464,"[11575, 12400, 11539, 11824, 11867, 10664, 11934, 9916]",0,7,Rental,"[{'date': datetime.date(2019, 6, 19), 'amount': 2800.33}]"
Elijah Wilson,"USS Rodgers
FPO AP 20090",2024-11-22,Active,102.67,DXKEPH98GV20NLU8N,AP,BYD,BYD Han,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,30000,4S Stores,2015,123983,0,Company Ownership,12398,"[12603, 13029, 11295, 11589, 11726, 11787, 11850, 14455, 12875, 12774]",3,9,Commercial,"[{'date': datetime.date(2023, 3, 2), 'amount': 3632.56}]"
Daniel Shepherd,"2805 Joseph Causeway
Johnville, ND 86940",2024-11-13,Active,118.24000000000001,S6HZZD49L0TDLGEPZ,ND,Li Auto,Li Auto L7,Li AD Max,Camera + LiDAR,NVIDIA Orin,5G Modem,Inverter,ABS Module,Electric Power Steering,50000,In-Vehicle Infotainment System,2019,66508,0,Personal Ownership,11084,"[12190, 11898, 10025, 10621, 10375, 11399]",1,10,Commercial,"[{'date': datetime.date(2022, 3, 16), 'amount': 3742.77}, {'date': datetime.date(2022, 2, 14), 'amount': 1443.53}, {'date': datetime.date(2021, 4, 8), 'amount': 613.71}, {'date': datetime.date(2022, 3, 17), 'amount': 1874.83}]"
Dawn Houston,"2383 Aaron Ford
New Brittany, AR 65621",2024-12-12,Active,110.75,8EGA75R9KDEGKT5S7,AR,Tesla,Tesla Model 3,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,39990,4S Stores,2024,0,0,Personal Ownership,0,[0],0,0,Commercial,"[{'date': datetime.date(2020, 8, 12), 'amount': 1758.85}, {'date': datetime.date(2023, 6, 6), 'amount': 4996.8}, {'date': datetime.date(2023, 3, 7), 'amount': 1310.28}, {'date': datetime.date(2018, 10, 20), 'amount': 1352.72}]"
Melissa Anderson,"PSC 6922, Box 2000
APO AA 90713",2024-11-26,Active,122.66,FUC0RFRSGPX9R9JGW,AA,BMW,BMW i4,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,56000,Online,2015,110845,1,Personal Ownership,11084,"[10873, 10363, 10396, 12405, 10660, 11286, 10772, 11451, 12416, 10223]",1,9,Personal,"[{'date': datetime.date(2020, 1, 18), 'amount': 1912.21}, {'date': datetime.date(2020, 10, 9), 'amount': 937.96}, {'date': datetime.date(2024, 10, 28), 'amount': 3979.35}, {'date': datetime.date(2022, 1, 17), 'amount': 1297.53}]"
Philip Taylor,"650 Amy Cape
East Jonathanside, FL 87585",2024-11-08,Active,130.31,PP1DA0J2AR1SATBZX,FL,Audi,Audi e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,66000,4S Stores,2018,75698,0,Personal Ownership,10814,"[10729, 11651, 10031, 11646, 10657, 9854, 11130]",0,12,Personal,[]
Ariel Spence,"Unit 8345 Box 1568
DPO AP 17829",2024-11-17,Active,110.46000000000001,9S24VK76NWSXLSZ33,AP,Tesla,Tesla Model 3,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,39990,Agent,2023,14979,0,Personal Ownership,7489,"[7245, 7734]",0,2,Personal,"[{'date': datetime.date(2021, 4, 17), 'amount': 1104.26}]"
James Silva,"8319 Smith Throughway Suite 624
North Lorimouth, MO 29814",2024-11-03,Expiring in 7 Days,123.03,AP3JWXA697BKZ3F05,MO,Mercedes-Benz,Mercedes-Benz E-Class,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,54000,In-Vehicle Infotainment System,2015,117927,1,Personal Ownership,11792,"[11095, 11871, 12042, 11631, 12536, 12409, 11188, 12299, 10309, 12547]",0,9,Rental,"[{'date': datetime.date(2024, 8, 24), 'amount': 1105.64}]"
Sheila Weaver,"577 Deborah Green Apt. 916
Ashleystad, VA 21283",2024-11-10,Active,111.92,E7RSSLX2M02TL4JU5,VA,Tesla,Tesla Cybertruck,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,39900,Online,2017,89105,1,Company Ownership,11138,"[10531, 10810, 10754, 11047, 10569, 10983, 12064, 12347]",2,14,Rental,[]
Kaitlin Schaefer,"0132 Reynolds Roads Apt. 015
Frankfort, SC 24711",2024-11-25,Active,115.82,SBY6HK6735WBWGVTW,SC,Audi,Audi Q4 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,45000,In-Vehicle Infotainment System,2023,12266,0,Company Ownership,6133,"[5657, 6609]",0,1,Commercial,"[{'date': datetime.date(2021, 3, 15), 'amount': 4746.91}]"
